RA	RB	RC	RD	SA	SB	SC SD
2.3 3.2 5.3 1.3 2.5 2.5 6.3 2.5
2.4 4.2 5.3 1.3 2.5 2.7 6.6 2.5
2.5 3.5 5.3 1.52 2.5 2.2 6 2.4
2.2 3.7 5.3 1.23 2.5 2.6 6 2.02
2.55 3.9 5.3 1.44 2.5 2.5 6 2.1
2.65 3.00 5.3 1.36 2.5 2.8 6 4.1
2.33 3.43 5.3 1.23 2.5 2.2 6 3.4
3.11 3.23 5.3 1.43 2.5 2.2 6 3.2
2.6 3.22 5.32 1.13 2.5 2.2 6 2.5
2.8 3.21 5.3 1.32 2.5 2.2 6 2.2
2.9 3.24 5.3 1.34 2.5 2.2 6 2.9
2.2 3.43 5.3 1.5 2.5 2.2 6 2.7
2.1 3.64 5.3 1.6 2.5 2.2 6 2.3
3.1 3.76 5.3 1.7 2.5 2.2 6 2.1
2.2 3.76 5.3 1.12 2.5 2.2 6 2.9
2.1 3.87 5.3 1.42 2.5 2.2 6 2.8
2.2 3.99 5.3 1.54 2.55 2.24 6.2 2.6
3.6 3.66 5.12 1.35 2.124 5.2 3.5 4
